ORD,SHEET,GRP,ITEM,VAL_A,VAL_B,VAL_C,TXT_A,TXT_B,TXT_C
1,DQ Scorecard,Validity,transaction.amount < 0 with status REVERSED (legitimate),1952,260287.00,0.750,Informational,"Retain - genuine reversals, net them rather than dropping",transaction
1,DQ Scorecard,Validity,transaction.amount = 0,0,260287.00,0.000,Warning,Quarantine - zero-value attempts carry no economics,transaction
1,DQ Scorecard,Validity,transaction.status outside the known set,0,260287.00,0.000,Blocking,Quarantine,transaction
2,Missing merchant by channel,,BANK_TRANSFER,128,35732.00,0.358,,,
2,Missing merchant by channel,,CARD,480,111719.00,0.430,,,
2,Missing merchant by channel,,UPI,296,71783.00,0.412,,,
2,Missing merchant by channel,,WALLET,864,41053.00,2.105,,,
3,Risk score by model version,,v2.1,0,280293.00,0.000,,min 0.001  max 0.999,
3,Risk score by model version,,v3.0,176568,186158.00,94.850,,min 0.1  max 99.9,
4,Event lag by month,,2025-01,1931,62436.00,3.090,,max lag 9.0 days,
4,Event lag by month,,2025-02,2168,66102.00,3.280,,max lag 9.0 days,
4,Event lag by month,,2025-03,2411,69483.00,3.470,,max lag 9.0 days,
4,Event lag by month,,2025-04,2511,72889.00,3.440,,max lag 9.0 days,
4,Event lag by month,,2025-05,2815,76492.00,3.680,,max lag 9.0 days,
4,Event lag by month,,2025-06,3035,80282.00,3.780,,max lag 9.0 days,
4,Event lag by month,,2025-07,3495,84425.00,4.140,,max lag 9.0 days,
4,Event lag by month,,2025-08,3935,87751.00,4.480,,max lag 9.0 days,
4,Event lag by month,,2025-09,4328,92385.00,4.680,,max lag 9.0 days,
4,Event lag by month,,2025-10,5133,97504.00,5.260,,max lag 9.0 days,
4,Event lag by month,,2025-11,5760,102093.00,5.640,,max lag 9.0 days,
4,Event lag by month,,2025-12,6541,107252.00,6.100,,max lag 9.0 days,
4,Event lag by month,,2026-01,323,1222.00,26.430,,max lag 9.0 days,
5,Settlement coverage by month,,2025-01,392,14802.00,2.650,,,
5,Settlement coverage by month,,2025-02,440,15496.00,2.840,,,
5,Settlement coverage by month,,2025-03,475,16246.00,2.920,,,
5,Settlement coverage by month,,2025-04,433,17049.00,2.540,,,
5,Settlement coverage by month,,2025-05,455,17903.00,2.540,,,
5,Settlement coverage by month,,2025-06,468,18820.00,2.490,,,
5,Settlement coverage by month,,2025-07,521,19736.00,2.640,,,
5,Settlement coverage by month,,2025-08,547,20349.00,2.690,,,
5,Settlement coverage by month,,2025-09,520,21458.00,2.420,,,
5,Settlement coverage by month,,2025-10,633,22786.00,2.780,,,
5,Settlement coverage by month,,2025-11,950,23942.00,3.970,,,
5,Settlement coverage by month,,2025-12,5303,25011.00,21.200,,,
6,Latency by provider month,PROV_MERIDIAN,2025-01,87,220.00,16350.000,,,
6,Latency by provider month,PROV_MERIDIAN,2025-02,85,214.00,16725.000,,,
6,Latency by provider month,PROV_MERIDIAN,2025-03,88,230.00,17571.000,,,
6,Latency by provider month,PROV_MERIDIAN,2025-04,86,219.00,17974.000,,,
6,Latency by provider month,PROV_MERIDIAN,2025-05,89,220.00,18412.000,,,
6,Latency by provider month,PROV_MERIDIAN,2025-06,86,215.00,18783.000,,,
6,Latency by provider month,PROV_MERIDIAN,2025-07,88,227.00,19609.000,,,
6,Latency by provider month,PROV_MERIDIAN,2025-08,312,1526.00,18642.000,,,
6,Latency by provider month,PROV_MERIDIAN,2025-09,222,1410.00,19707.000,,,
6,Latency by provider month,PROV_MERIDIAN,2025-10,88,227.00,20044.000,,,
6,Latency by provider month,PROV_MERIDIAN,2025-11,87,230.00,20384.000,,,
6,Latency by provider month,PROV_MERIDIAN,2025-12,87,217.00,20377.000,,,
6,Latency by provider month,PROV_NORTH,2025-01,87,224.00,30558.000,,,
6,Latency by provider month,PROV_NORTH,2025-02,86,220.00,31968.000,,,
6,Latency by provider month,PROV_NORTH,2025-03,88,222.00,33151.000,,,
6,Latency by provider month,PROV_NORTH,2025-04,88,224.00,34690.000,,,
6,Latency by provider month,PROV_NORTH,2025-05,87,222.00,35874.000,,,
6,Latency by provider month,PROV_NORTH,2025-06,87,224.00,37008.000,,,
6,Latency by provider month,PROV_NORTH,2025-07,86,224.00,37182.000,,,
6,Latency by provider month,PROV_NORTH,2025-08,86,223.00,37948.000,,,
6,Latency by provider month,PROV_NORTH,2025-09,86,223.00,37718.000,,,
6,Latency by provider month,PROV_NORTH,2025-10,88,226.00,37172.000,,,
6,Latency by provider month,PROV_NORTH,2025-11,87,222.00,35901.000,,,
6,Latency by provider month,PROV_NORTH,2025-12,87,224.00,34034.000,,,
6,Latency by provider month,PROV_ORBIT,2025-01,85,216.00,16236.000,,,
6,Latency by provider month,PROV_ORBIT,2025-02,87,221.00,17539.000,,,
6,Latency by provider month,PROV_ORBIT,2025-03,88,221.00,18771.000,,,
6,Latency by provider month,PROV_ORBIT,2025-04,88,219.00,20266.000,,,
6,Latency by provider month,PROV_ORBIT,2025-05,89,228.00,22191.000,,,
6,Latency by provider month,PROV_ORBIT,2025-06,87,228.00,24595.000,,,
6,Latency by provider month,PROV_ORBIT,2025-07,88,222.00,27572.000,,,
6,Latency by provider month,PROV_ORBIT,2025-08,88,223.00,31247.000,,,
6,Latency by provider month,PROV_ORBIT,2025-09,88,223.00,35018.000,,,
6,Latency by provider month,PROV_ORBIT,2025-10,87,224.00,40279.000,,,
6,Latency by provider month,PROV_ORBIT,2025-11,88,223.00,46039.000,,,
6,Latency by provider month,PROV_ORBIT,2025-12,87,224.00,52781.000,,,
7,Fan-out proof,,correct: fraud pre-aggregated,233598,2122706960.62,1.000,,,
7,Fan-out proof,,correct: no join,233598,2122706960.62,1.000,,,
7,Fan-out proof,,naive join to fraud decision,418561,3806303262.24,1.790,,,
7,Fan-out proof,,naive join to risk snapshot,2784396,25295125176.60,11.920,,,
